"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lee Sin","ADC",1,"0.4%","28.8%","85.0%","0%","0%",4,6,2,1,"75.0%","30.0%","0%",-600,27,-16,6.5,"18.6%",439,"21.0%","21.0%",0.36,0.11
"Lee Sin","Support",1,"0.4%","28.8%","85.0%","0%","0%",5,3,2,2.3,"63.6%","23.1%","0%",1412,1291,80,9.2,"28.7%",429,"16.7%","25.0%",0.53,0.38
"Lucian","ADC",1,"0.4%","69.9%","88.1%","100%","100%",5,2,8,6.5,"68.4%","25.0%","0%",-57,-36,7,9.9,"27.5%",558,"25.5%","23.7%",0.48,0.61
"Lux","Support",1,"0.4%","0.0%","0.4%","0%","100%",1,5,4,1,"62.5%","35.7%","0%",-281,963,56,6.4,"19.5%",291,"27.6%","16.7%",0.64,0.12
"Maokai","Top",1,"0.4%","0.0%","1.8%","0%","100%",0,3,4,1.3,"57.1%","15.8%","0%",64,214,-15,5.9,"20.2%",426,"22.3%","16.5%",0.27,0.17
"Miss Fortune","ADC",1,"0.4%","0.0%","0.4%","100%","100%",8,3,1,3,"81.8%","23.1%","0%",-145,-211,-11,8.2,"22.1%",533,"27.9%","26.9%",0.51,0.19
"Morgana","ADC",1,"0.4%","0.0%","0.9%","0%","100%",3,3,4,2.3,"46.7%","15.8%","100%",397,376,-4,8.2,"23.9%",389,"18.7%","22.2%",0.48,0.18
"Morgana","Support",1,"0.4%","0.0%","0.9%","100%","100%",0,0,10,10,"62.5%","0.0%","0%",487,97,-6,0.9,"3.4%",225,"12.0%","10.2%",1.87,0.31
"Neeko","Support",1,"0.4%","1.8%","2.2%","100%","0%",1,1,5,6,"42.9%","12.5%","0%",-157,499,-11,0.9,"3.6%",170,"10.5%","9.2%",1.3,0.57
"Ornn","Middle",1,"0.4%","3.1%","8.8%","0%","100%",1,4,1,0.5,"50.0%","25.0%","0%",-178,-238,2,8.9,"27.0%",706,"33.9%","22.8%",0.29,0.29
"Poppy","Support",1,"0.4%","0.0%","0.4%","100%","100%",0,3,7,2.3,"43.8%","21.4%","0%",-255,-113,1,0.9,"1.8%",117,"4.7%","7.3%",1.97,0.3
"Qiyana","Middle",1,"0.4%","0.0%","0.4%","100%","100%",6,1,5,11,"68.8%","25.0%","100%",-295,-335,-22,6,"17.9%",614,"28.6%","21.7%",0.35,0.18
"Rumble","Middle",1,"0.4%","20.4%","59.7%","0%","0%",4,5,6,2,"76.9%","22.7%","0%",-238,40,5,6.3,"17.5%",678,"31.0%","21.1%",0.46,0.06
"Ryze","Top",1,"0.4%","25.7%","54.4%","100%","100%",1,1,7,8,"66.7%","20.0%","100%",-182,16,-2,9.8,"30.1%",572,"29.1%","25.2%",0.48,0.19
"Sejuani","Jungle",1,"0.4%","0.0%","0.9%","100%","100%",2,4,9,2.8,"73.3%","30.8%","100%",-356,-578,-16,5.1,"13.9%",205,"10.7%","17.3%",0.43,0.49
"Sejuani","Support",1,"0.4%","0.0%","0.9%","100%","100%",2,3,11,4.3,"68.4%","20.0%","0%",-78,191,0,1.6,"4.0%",184,"6.5%","9.5%",1.93,0.66
"Seraphine","Middle",1,"0.4%","0.9%","1.3%","100%","100%",1,0,5,6,"85.7%","0.0%","0%",137,67,4,8.8,"21.5%",234,"15.0%","20.2%",0.32,0.29
"Sivir","ADC",1,"0.4%","0.0%","0.4%","0%","100%",1,4,2,0.8,"33.3%","33.3%","0%",198,-103,2,9.6,"30.2%",387,"23.1%","24.7%",0.65,0.29
"Syndra","ADC",1,"0.4%","5.8%","11.5%","100%","100%",1,1,7,8,"53.3%","14.3%","0%",510,586,25,9.6,"27.3%",341,"17.2%","20.8%",0.51,0.4
"Tristana","Top",1,"0.4%","1.8%","4.0%","100%","100%",5,0,5,10,"83.3%","0.0%","100%",890,145,24,10.3,"31.8%",551,"30.4%","32.0%",0.33,0.67
"Trundle","Middle",1,"0.4%","6.6%","19.0%","100%","100%",4,1,11,15,"75.0%","25.0%","100%",-357,-549,-23,8.3,"23.9%",516,"22.0%","24.2%",0.42,0.04
"Volibear","Middle",1,"0.4%","7.5%","20.8%","0%","100%",1,1,3,4,"66.7%","5.0%","0%",300,861,7,8.9,"34.4%",271,"22.3%","28.3%",0.45,0.17
"Volibear","Top",1,"0.4%","7.5%","20.8%","0%","100%",0,3,0,0,"0.0%","17.6%","0%",-256,-313,3,7.6,"22.1%",263,"16.7%","21.1%",0.32,0.25
"Bard","-",0,"0%","2.7%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zilean","-",0,"0%","0.4%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
